ID,Name,Grade,Grade text,Generation,Total
48821,خلف بن عبد الله الشيباني,7,مجهول الحال,15,1
48822,محمد بن إبراهيم النجيرمي,7,مجهول الحال,17,5
48823,محمد بن عبد الله الوراق,7,مجهول الحال,13,1
48824,عبد الحميد بن محمد بن الدلال,7,مجهول الحال,12,1
48825,محمد بن عبد الوهاب الهاشمي,7,مجهول الحال,11,1
48826,محمد بن يوسف الحداني,7,مجهول الحال,17,2
48827,محمد بن عمر الذهبي,7,مجهول الحال,17,2
48828,محمد بن أحمد الزئبقي,7,مجهول الحال,15,1
48829,علي بن الحسين الربعي,6,مقبول,20,8
48830,محمد بن حبيب المتوثي,7,مجهول الحال,17,2
48831,عبد الله بن محمد التوزي,7,مجهول الحال,17,2
48832,سليمان بن الحسن المقرئ,7,مجهول الحال,17,1
48833,محمد بن سمعان الحافظ,7,مجهول الحال,13,1
48834,الحسن بن محمد البحيري,7,مجهول الحال,15,2
48835,أحمد بن بندار الشيرازي,7,مجهول الحال,17,3
48836,محمد بن عبد الرحمن الكرجي,7,مجهول الحال,15,1
48838,عبد الله بن محمد المخزومي,7,مجهول الحال,10,5
48839,جعفر بن عبد الواحد الهاشمي,7,مجهول الحال,14,3
48840,أبو الحسن بن عبد الواحد الهاشمي,7,مجهول الحال,14,3
48841,يعقوب بن سليمان القرشي,7,مجهول الحال,8,1
48842,الأسود بن أبي الأسود النهدي,1,صحابي,1,1
48900,الفرج بن محمد القاضي,7,مجهول الحال,17,4
48904,أحمد بن علي الرازي,6,مقبول,14,2
48905,عمر بن علي الكاتب,7,مجهول الحال,15,2
48906,عم محمد بن موسى الصيمري,7,مجهول الحال,13,1
48907,عيسى بن أصبح,7,مجهول الحال,11,1
48908,أبو العباس بن عمار,7,مجهول الحال,11,1
48909,أبو الفضل بن طاهر,7,مجهول الحال,13,1
48911,علي بن عبيد الله الكاغدي,7,مجهول الحال,17,2
48912,أحمد بن محمد الرازي,7,مجهول الحال,15,11
48913,محمد بن علي النحوي,7,مجهول الحال,13,2
48915,أم الحسن بنت سليمان,7,مجهول الحال,11,2
48916,أحمد بن محمد الخزاعي,7,مجهول الحال,15,2
48917,حمدويه بن الخطاب البخاري,3,ثقة,11,1
48919,عبد الله بن عيسى المحتسب,2,ثقة صدوق,17,7
48920,هارون بن كنانة,7,مجهول الحال,6,1
48922,محمد بن المؤمل الأنباري,4,صدوق حسن الحديث,17,11
48923,سقر بن الحسين الحذاء,7,مجهول الحال,11,2
48926,محمد بن أسامة الرقي,7,مجهول الحال,10,2
48927,عبد الملك بن أحمد الإستراباذي,7,مجهول الحال,16,12
48928,محمد بن محمد السراج,7,مجهول الحال,14,4
48929,محمد بن عبيد الله المقرئ,7,مجهول الحال,17,2
48930,أبو بكر بن مكرم القاضي,7,مجهول الحال,13,3
48931,الحسن بن عبيد الله الهماني,4,صدوق حسن الحديث,17,4
48932,العباس بن ماسويه الأنطاكي,7,مجهول الحال,12,1
48934,عبد السلام بن عبد الوهاب القرشي,7,مجهول الحال,17,42
48935,يوسف بن محمد الخياط,4,صدوق,13,2
48936,عبد الوهاب بن عبيد الله,7,مجهول الحال,5,1
48937,عبيد الله,7,مجهول الحال,3,1
48938,محمد بن أحمد الأدمي,7,مجهول الحال,17,1
48939,عبد الله بن علي الهمداني,7,مجهول الحال,17,3
48940,محمد بن أحمد السجستاني,7,مجهول الحال,13,6
48941,أحمد بن الحسن الطاهري,7,مجهول الحال,13,1
48942,الحسن بن محمد الأنصاري,7,مجهول الحال,12,4
48943,عبد الرحمن بن عثمان,7,مجهول الحال,8,1
48944,عبد الغفار بن عبيد الله الحضيبي,3,ثقة,15,3
48945,شعيب بن محرز البصري,7,مجهول الحال,,5
48946,محمد بن راشد التمار,7,مجهول الحال,,3
48948,أبو عياض بن أنس الليثي,7,مجهول الحال,10,1
48949,يمان البحري,7,مجهول الحال,12,1
48951,سليمان بن زيد الهاشمي,7,مجهول الحال,9,2
48952,سليمان بن منصور,7,مجهول الحال,,5
48953,عثمان بن أحمد الخزاز,7,مجهول الحال,13,1
48954,محمد بن عاصم الصواف,7,مجهول الحال,11,3
48955,علي بن محمد البرتي,7,مجهول الحال,15,4
48956,جبريل بن محمد الهمذاني,4,صدوق حسن الحديث,16,8
48957,صالح بن محمد الأزادواري,7,مجهول الحال,12,3
48958,محمد بن أحمد الجلودي,7,مجهول الحال,13,4
48959,محمد بن أبي عثمان الأزدي,7,مجهول الحال,5,1
48960,أحمد بن إسحاق الموسائي,7,مجهول الحال,13,2
48962,الهيثم بن موسى المروزي,7,مجهول الحال,10,2
48963,محمد بن أحمد الكرجي,4,صدوق حسن الحديث,17,4
48965,الهيثم بن بزرج,7,مجهول الحال,10,1
48966,هارون بن جعفر,7,مجهول الحال,7,2
48967,شعيب بن إبراهيم الأديب,7,مجهول الحال,17,1
48969,الفضل بن عبيد الله الأرساني,7,مجهول الحال,15,1
48971,الحسين بن جعفر الصوفي,7,مجهول الحال,14,1
48972,أحمد بن عبد الرحمن الأسدي,7,مجهول الحال,15,7
48973,عمرو بن عثمان,7,مجهول الحال,13,1
48974,يوسف بن محمد المسروقي,7,مجهول الحال,10,2
48976,يعقوب بن إسحاق النسوي,7,مجهول الحال,15,1
48977,محمد بن سادل النيسابوري,7,مجهول الحال,14,1
48978,زياد بن عبد الله بن مغفل,7,مجهول الحال,3,1
48979,حازم بن نوح,7,مجهول الحال,11,1
48980,الحسين بن محمد الدقاق,7,مجهول الحال,17,1
48981,أبو أحمد بن خون الخراساني,7,مجهول الحال,7,1
48983,محمد بن داود النسائي,7,مجهول الحال,12,1
48985,عبد العزيز بن أبي الحسن القرميسيني,7,مجهول الحال,17,4
48987,محمد بن مروان,7,مجهول الحال,11,1
48988,أحمد بن أبي صلابة,7,مجهول الحال,12,6
48989,أبو الحسن المحمودي,7,مجهول الحال,13,1
48990,محمد بن علي الجوسقاني,7,مجهول الحال,14,5
48991,عبد الحكيم بن ميسرة,7,مجهول الحال,8,1
48992,جعفر بن بهمرد,7,مجهول الحال,12,1
48994,إسماعيل بن محمد الكوفي,6,مقبول,11,5
48995,عبد الأول بن إسماعيل الأهوازي,7,مجهول الحال,13,1
48996,طلحة بن الشجاج,7,مجهول الحال,3,1
48997,عبد الله بن نمر,7,مجهول الحال,8,1
48998,عبد الله بن إبراهيم الواعظ,7,مجهول الحال,15,5
48999,أحمد بن أحمد بن جعفر,7,مجهول الحال,18,1
49000,الحصين بن الأسود الهلالي,6,مقبول,3,1
49002,عبد الله بن حميد المزني,9,مجهول,,4
49003,سلامة بن عميرة الشامي,7,مجهول الحال,,1
49004,محمد بن عبادة,7,مجهول الحال,,1
49005,حداد العذري,7,مجهول الحال,,1
49006,عتبة بن عبد الرحمن الخرستاني,8,ضعيف الحديث,,2
49008,عبد الله بن محمد القرشي,7,مجهول الحال,,1
49009,الصلت بن طريف أبو غالب,9,مجهول,,1
49010,الحجاج بن عبد الله,9,مجهول,,1
49011,إسماعيل الشامي,7,مجهول الحال,,1
49012,عبد الله بن حفص,9,مجهول,,1
49013,حفص بن سليمان,9,مجهول,,2
49014,يزيد عبد الرحمن,9,مجهول,,2
49015,عبد الرحمن,9,مجهول,,2
49016,هشام بن هشام الكوفي,7,مجهول الحال,,3
49017,محمد بن سهل الأصطخري,7,مجهول الحال,10,13
49018,أبو سعيد,9,مجهول,,1
49019,إسماعيل بن إبراهيم الجعفي,4,صدوق حسن الحديث,9,5
49021,مروان,7,مجهول الحال,,1
49023,إسماعيل بن زياد,7,مجهول الحال,,3
49024,عبد ربه بن صالح القرشي,6,مقبول,6,5
49025,أبو مسكين الأنصاري,7,مجهول الحال,5,2
49026,عبد الرحمن بن عوف,7,مجهول الحال,,1
49027,عوف بن حبان,7,مجهول الحال,,1
49028,علي بن يحيى,9,مجهول,,2
49029,يحيى بن إسماعيل,9,مجهول,,1
49032,يحيى بن يزيد الخواص,7,مجهول الحال,,6
49033,محمد بن سالم المسبحي,7,مجهول الحال,,1
49034,يحيى بن رباح الجرمي,7,انفرد بتوثيقه ابن حبان,6,1
49035,القاسم بن عبد الغفار,7,مجهول الحال,,1
49036,سلمة الجهني,7,مجهول الحال,,1
49037,أبو معشر الحميري,9,مجهول,,1
49038,هارون بن واقد العبسي,7,مجهول الحال,,1
49039,عمرو بن سمرة,7,مجهول الحال,,2
49040,محمد بن نصر البغدادي,7,مجهول الحال,,1
49042,عبد الله بن محمد الضبي,3,ثقة,,1
49044,حمزة بن أبي داود المازني,9,مجهول,5,1
49045,يزيد بن إسحاق,3,ثقة,3,1
49046,سهل بن سنان النهرتيري,9,مجهول,10,3
49047,محمد بن خليفة,9,مجهول,,2
49048,مسلمة,7,مجهول الحال,,1
49050,أم عاصم امرأة عتبة,7,مجهول الحال,,1
49051,عامر بن مسعود المنقري,9,مجهول,,2
49053,تميم بن عويمر الهذلي,7,مجهول الحال,,2
49054,عتبة بن أبي عتبة الفزاري,7,مجهول الحال,6,1
49055,عمرو بن أبي عقرب,6,مقبول,2,1
49056,الزبير الصنعاني,7,مجهول الحال,,2
49057,محمد بن يزيد الرؤاسي,7,مجهول الحال,,2
49059,عبيد بن حصن التيمي,7,مجهول الحال,7,4
49060,محمد بن أبي إسحاق التيمي,7,مجهول الحال,,1
49062,سمرة بن عطية,7,مجهول الحال,,2
49063,عيسى بن أسيد,7,مجهول الحال,,2
49064,عبد الله بن عمير,7,مجهول الحال,,1
49067,ثابت بن يزيد,7,مجهول الحال,3,1
49068,جميلة بنت عبادة الأنصارية,7,مجهول الحال,,1
49069,أخت جميلة الأنصارية,7,مجهول الحال,,1
49070,عقبة الجهني,1,صحابي,1,1
49072,نافع بن صيفي,7,مجهول الحال,,1
49073,محمد بن سعيد,7,مجهول الحال,6,1
49074,أبو بدر الحلبي,7,مجهول الحال,,1
49075,ميمونة بنت حجر,9,مجهول,,3
49076,كبشة بنت عبد الجبار,9,مجهول,,3
49077,محمد بن إسحاق الغنوي,9,مجهول,,4
49078,الحارث بن يزيد الشامي,7,مجهول الحال,,1
49079,عبد الله بن عبد الملك,7,مجهول الحال,,1
49080,سعد,7,مجهول الحال,,1
49081,أيوب بن سعد,7,مجهول الحال,,1
49083,أحمد بن داود الصدفي,7,مجهول الحال,10,3
49084,محمد بن عثمان الجزري,7,مجهول الحال,,1
49085,محمد بن خالد الكوفي,9,مجهول,,1
49086,حرة,9,مجهول,3,1
49087,بكر بن محمد القرشي,7,مجهول الحال,,1
49088,إسماعيل بن أيوب المخزومي,7,مجهول الحال,,3
49089,مغيث بن أبي بردة الظفري,6,مقبول,,1
49090,يحيى بن عبد الملك القرشي,7,مجهول الحال,,1
49091,عبد الملك بن هبار القرشي,7,مجهول الحال,,1
49092,عبد الله بن هبار القرشي,7,مجهول الحال,,2
49093,يوسف بن عنبسة التميمي,7,مجهول الحال,8,2
49094,عبد الغفار بن عمر,7,مجهول الحال,,2
49095,أحمد بن عبد الله,7,مجهول الحال,,3
49096,نابل بن قعقاع الباهلي,7,مجهول الحال,6,2
49097,عمرو بن زيد,9,مجهول,,2
49098,محمد بن سليمان اليمامي,7,مجهول الحال,,1
49099,معبد بن يزيد اليمامي,9,مجهول,,1
49100,عبيد الله بن عبد الله الطلحي,9,مجهول,10,2
49101,عبد الله بن عبد الله الطلحي,9,مجهول,8,1
49102,محمد بن عبد الله الهاشمي,7,مجهول الحال,7,36
49103,محمد بن سعيد,7,مجهول الحال,6,1
49104,حفص بن عبد الله بن الشخير,7,مجهول الحال,9,2
49105,إبراهيم بن محمد الهلالي,7,مجهول الحال,13,11
49106,حجاج بن حرب التستري,7,مجهول الحال,8,1
49108,محمد بن عبد الرحمن العدوي,7,مجهول الحال,10,2
49109,جعفر بن سنيد المصيصي,7,انفرد بتوثيقه ابن حبان,12,8
49111,عمر بن نافع بن جبير,7,مجهول الحال,5,2
49112,محمد بن سلم الرازي,7,مجهول الحال,10,2
49113,محمد بن علي النسائي,3,ثقة,12,9
49114,سابق الجزري,9,مجهول,7,2
49115,محمد بن عبد الله الواسطي,7,مجهول الحال,10,4
49116,عبد الرحمن بن طاوس اليماني,9,مجهول,9,1
49117,شقيق بن بشر العجلي,7,مجهول الحال,5,1
49118,ملحان بن سليمان الدورقي,7,مجهول الحال,10,1
49119,موسى بن أبي سليم البصري,9,مجهول,9,1
49120,محمد بن إسحاق الرازي,7,مجهول الحال,10,1
49121,مصعب بن عبد الرحمن المخزومي,7,مجهول الحال,10,1
49122,محمد بن العباس البغدادي,3,ثقة,10,1
49123,علي القرشي,9,مجهول,6,1
49124,جامع بن عمرو,7,انفرد بتوثيقه ابن حبان,9,1
49125,يعقوب بن عمرو,9,مجهول,9,1
49127,الوليد بن مسبح,7,انفرد بتوثيقه ابن حبان,10,1
49128,عبد الله بن بخيت,7,مجهول الحال,10,1
49129,صباح الفراء,9,مجهول,7,1
49130,عمر بن حفص القرظي,9,مجهول,8,2
49131,عمر بن صالح الواسطي,7,مجهول الحال,10,5
49132,أحمد بن عبد الله الصنعاني,7,مجهول الحال,10,2
49133,محمد بن أبان الهاشمي,7,مجهول الحال,10,1
49135,محمد بن منصور,7,مجهول الحال,9,1
49136,منصور,7,مجهول الحال,7,1
49137,أيوب بن سليمان الجوزي,9,مجهول,5,2
49138,خليفة بن سلام,7,مجهول الحال,5,1
49139,أبو يعقوب,7,مجهول الحال,7,1
49140,إسماعيل بن يزيد البصري,7,مجهول الحال,10,2
49141,الفضيل بن عطاء,7,مجهول الحال,5,2
49142,طاهر بن أحمد الزبيدي,7,مجهول الحال,10,1
49143,عبد العزيز بن مروان الفزاري,9,مجهول,10,1
49144,سليمان بن كدير الكندي,9,مجهول,5,1
49145,إسماعيل بن موسى الأنصاري,7,مجهول الحال,9,1
49146,يوسف بن الصباح العطار,7,مجهول الحال,10,3
49147,عبد الله بن إبراهيم,7,مجهول الحال,8,2
49148,محمد بن عبد العزيز الماوردي,7,مجهول الحال,10,1
49149,زياد بن سهل الحارثي,3,ثقة,8,5
49150,بشر بن علي,7,مجهول الحال,6,1
49151,عيسى بن هلال السدوسي,7,مجهول الحال,5,1
49152,عبد الرحمن بن حسان,7,مجهول الحال,5,1
49153,نعيم بن سعيد العبدي,7,مجهول الحال,5,1
49154,حمزة بن جعفر الشيرازي,7,مجهول الحال,10,5
49155,أبو سمرة قاضي حور,7,مجهول الحال,8,3
49157,الحكم بن ظبيان المازني,7,مجهول الحال,10,1
49158,عمر بن الخطاب البجلي,7,مجهول الحال,7,1
49159,مسلمة بن أبي عطاء,7,مجهول الحال,5,1
49160,عمر,7,مجهول الحال,6,1
49161,أحمد بن حفص الأنصاري,9,مجهول,10,3
49162,أبو عبد الله القشيري,7,مجهول الحال,6,1
49163,عبد الله بن عبد الله الحضرمي,7,مجهول الحال,8,1
49164,طريف بن ميمون,7,مجهول الحال,3,1
49165,عبدة بن الحكم المروزي,3,ثقة,8,1
49166,محمد بن حماد الأزدي,7,مجهول الحال,10,4
49167,الحسن,7,مجهول الحال,3,1
49168,إسماعيل بن مرسال الخثعمي,7,مجهول الحال,7,4
49169,المغيرة بن سويد,9,مجهول,2,1
49170,إبراهيم الفائشي,7,مجهول الحال,5,1
49171,يعلى الثقفي,7,مجهول الحال,6,1
49172,مسلم بن محرز,7,مجهول الحال,3,1
49173,عثمان بن عبد الله الشامي,7,مجهول الحال,10,10
49174,محمد بن سهل,7,مجهول الحال,5,1
49175,موسى بن عمر الجمحي,7,مجهول الحال,3,4
49176,عبد الملك بن عبد ربه الشامي,7,مجهول الحال,7,2
49177,أبو عبيدة القرشي,9,مجهول,6,2
49179,وهب بن محمد السامي,7,مجهول الحال,10,1
49180,عبيد بن زياد الحضرمي,7,مجهول الحال,7,2
49183,محمد بن قيس المدني,9,مجهول,3,5
49184,يزيد بن حكيم العسكري,7,مجهول الحال,10,3
49186,يحيى بن محمد الختلي,7,مجهول الحال,11,2
49187,عبيد الله بن عبد الله البصري,4,صدوق حسن الحديث,8,2
49188,محمد بن زياد,9,مجهول,5,2
49189,صالح,7,انفرد بتوثيقه ابن حبان,4,1
49191,الليث,9,مجهول,8,2
49193,أسباط بن عزرة,9,مجهول,6,2
49194,عبد الله بن محمد الطهوي,9,مجهول,8,1
49195,أبو إدريس الإمام,7,مجهول الحال,5,3
49196,نضر بن عبيد,9,مجهول,7,2
49197,الحسن بن عبد الله الكندي,7,مجهول الحال,12,3
49198,هوير بن معاذ الكلبي,7,انفرد بتوثيقه ابن حبان,10,2
49199,يحيى بن أبي ورقة بن سعيد,7,مجهول الحال,5,2
49782,معن بن حميد,9,مجهول,,1
50000,محمد بن بشير الأنصاري,1,مختلف في صحبته,1,1
50001,نبعة الحبشية,1,صحابية,1,1
50002,إبراهيم الطائفي,1,صحابي,1,1
50004,أنيس الأنصاري,1,صحابي,1,1
50005,الحدرجان الأسدي,1,صحابي,1,1
50006,أسود بن عويم السدوسي,1,صحابي,1,1
50008,أوس بن خولي الأنصاري,1,صحابي,1,2
50009,أوس الأنصاري,1,صحابي,1,1
50010,أيمن بن يعلى الثقفي,1,صحابي,1,1
50011,أقرم الخزاعي,1,صحابي,1,2
50012,أبان المحاربي,1,صحابي,1,2
50014,الأحمري,1,صحابي,1,1
50015,أفلح مولى أم سلمة,1,صحابي,1,1
50016,الأقرع بن شفي العكي,1,صحابي,1,1
50017,أنيف بن ملة اليمامي,1,صحابي,1,2
50018,الأضبط السلمي,1,صحابي,1,1
50019,الأضبط بن حيي الأكبر,1,صحابي,1,1
50020,الأعرس بن عمرو اليشكري,1,صحابي,1,1
50021,أديم التغلبي,1,صحابي,1,2
50022,الأصبغ بن غياث,1,صحابي,1,1
50023,البراء بن أوس بن خالد,1,صحابي,1,1
50024,مجالد بن ثور البكائي,1,صحابي,1,1
50025,بشر البصري,1,صحابي,1,2
50027,بشير الثقفي,1,صحابي,1,1
50028,بكر بن شداخ الليثي,1,صحابي,1,1
50029,بكر بن حارثة الجهني,1,صحابي,1,2
50030,بديل بن عمرو الخطمي,1,صحابي,1,2
50031,بديل المصري,1,صحابي,1,1
50032,بدر بن عبد الله المزني,1,صحابي,1,1
50034,بكر بن عبد الله الأنصاري,1,صحابي,1,1
50035,بهز,1,صحابي,1,1
50036,تميم بن زيد المازني,1,صحابي,1,7
50037,التوأم,1,صحابي,1,2
50038,جعفر بن أبي الحكم,1,صحابي,1,1
50039,كبيرة بنت سفيان الخزاعية,1,صحابية,1,2
50040,جبير بن نوفل,1,صحابي,1,1
50041,عبد الجبار بن الحارث,1,صحابي,1,2
50042,جابر بن أبي سبرة الأسدي,1,صحابي,1,1
50043,جابر بن ماجد الصدفي,1,صحابي,1,1
50044,جابر بن الحابس العبدي,1,صحابي,1,1
50045,جرير بن الأرقط,1,صحابي,1,1
50046,أبو جرير,1,صحابي,1,1
50047,جعدة بن هانئ الحضرمي,1,صحابي,1,1
50048,جزء الشامي,1,صحابي,1,2
50049,جزء بن الحدرجان,1,صحابي,1,2
50050,جري الحنفي,1,صحابي,1,1
50051,جري بن عمرو العذري,1,صحابي,1,1
50052,جعونة بن زياد الشني,1,صحابي,1,1
50053,الجلاس بن صليت اليربوعي,1,صحابي,1,1
50054,الجراد العقيلي,1,صحابي,1,1
50055,جحش الجهني,1,صحابي,1,1
50056,جهر,1,صحابي,1,1
50057,جثامة بن مساحق الكناني,1,صحابي,1,1
50058,جندع بن ضمرة الأنصاري,1,صحابي,1,1
50059,جمرة بن عوف,1,صحابي,1,1
50060,جحدم,1,صحابي,1,2
50061,جحدم بن فضالة,1,صحابي,1,1
50063,الحكم بن رافع بن سنان,1,صحابي,1,1
50064,الحكم الأنصاري,1,صحابي,1,1
50065,الحارث بن مالك الأنصاري,1,صحابي,1,1
50066,الحارث بن عبد الله البجلي,1,صحابي,1,1
50067,الحصين,1,صحابي,1,1
50068,حنظلة الثقفي,1,صحابي,1,1
50069,قدامة الثقفي,1,صحابي,1,1
50071,حجيرة,1,صحابي,1,1
50072,حمران بن جابر اليمامي,1,صحابي,1,1
50073,حشرج,1,صحابي,1,2
50074,حيدة بن مخرم,1,صحابي,1,3
50075,خباب الخزاعي,1,صحابي,1,1
50076,خالد بن عبد العزى الخزاعي,1,صحابي,1,6
50078,خالد بن غلاب,1,صحابي,1,1
50080,خزرج الأنصاري,1,صحابي,1,1
50081,خصفة,1,صحابي,1,1
50083,درهم,1,صحابي,1,1
50084,دارم بن أبي دارم الجرشي,1,صحابي,1,1
50085,دليم,1,صحابي,1,1
50086,رافع مولى عائشة,1,صحابي,1,2
50088,رافع بن عميرة,1,صحابي,1,2
50089,رفاعة,1,صحابي,1,1
50090,ربيعة بن السكن الفزعي,1,صحابي,1,2
50091,ربيعة بن لهيعة الحضرمي,1,صحابي,1,1
50092,ربيعة بن رواء العنسي,1,صحابي,1,1
50093,ربيعة بن وقاص,1,صحابي,1,1
50094,الزبير بن أبي هالة,1,صحابي,1,2
50095,زيد بن جارية الأنصاري,1,صحابي,1,2
50097,زيد بن عبد الله الأنصاري,1,صحابي,1,1
50098,زيد,1,صحابي,1,2
50099,زيد بن خريم,1,صحابي,1,1
50100,عروة بن مسعود الثقفي,1,صحابي,1,7
50101,العلاء بن خارجة المدني,1,صحابي,1,1
50102,عوف بن سلمة الأنصاري,1,صحابي,1,1
50103,عوف بن القعقاع الدارمي,1,صحابي,1,1
50104,عفيف بن الحارث اليمني,1,صحابي,1,1
50105,عرزب الكندي,1,صحابي,1,1
50106,عتاب بن شمير الضبي,1,صحابي,1,1
50108,عتير البدوي,1,صحابي,1,1
50109,علباء بن أصمع القيسي,1,صحابي,1,1
50110,عريب المليكي,1,صحابي,1,3
50112,عيسى بن عقيل الثقفي,1,صحابي,1,1
50113,عنمة الجهني,1,صحابي,1,1
50114,عثامة بن قيس البجلي,1,صحابي,1,3
50115,قيس بن خرشة القيسي,1,صحابي,1,1
50116,قيس بن عبد العزى,1,صحابي,1,1
50118,قيس,1,صحابي,1,1
50119,قيس بن خارجة,1,صحابي,1,2
50120,قدامة بن حنظلة الحمصي,1,صحابي,1,1
50121,كليب بن حزم العقيلي,1,صحابي,1,3
50122,كرز بن عبد العكي,1,صحابي,1,1
50123,كرز بن سامة العامري,1,صحابي,1,4
50125,مالك الرؤاسي,1,صحابي,1,1
50126,مالك بن بحينة الأزدي,1,صحابي,1,3
50127,مالك بن سعد البصري,1,صحابي,1,1
50128,مالك الثقفي,1,صحابي,1,3
50129,مالك بن وهب الخزاعي,1,صحابي,1,1
50130,مالك الهلالي,1,صحابي,1,1
50131,مسلم بن الحارث الخزاعي,1,صحابي,1,1
50133,مسلم بن العلاء الحضرمي,1,صحابي,1,2
50135,مسلم بن رياح الثقفي,1,صحابي,1,1
50136,أبو عوسجة الضبي,1,صحابي,1,1
50137,مسلم,1,صحابي,1,1
50138,مسلم بن عمير الثقفي,1,صحابي,1,1
50139,معاوية الهذلي,1,صحابي,1,1
50140,معاوية الديلي,1,صحابي,1,1
50141,منذر الأسلمي,1,صحابي,1,1
50142,معبد القرشي,1,صحابي,1,1
50143,مسعود بن عمرو,1,صحابي,1,1
50144,مسعود بن خالد الخزاعي,1,صحابي,1,6
50145,المسور,1,صحابي,1,2
50146,مصعب الأسلمي,1,صحابي,1,1
50147,مرثد بن ربيعة العبدي,1,صحابي,1,1
50148,مرثد بن الصلت,1,صحابي,1,1
50149,مازن بن الغضوبة الخطامي,1,صحابي,1,2
50150,محرز,1,صحابي,1,1
50152,مدرك الغفاري,1,صحابي,1,2
50153,مرارة بن سليم السلمي,1,صحابي,1,2
50154,ابن مكدم الثقفي,1,صحابي,1,2
50155,مكنف الحارثي,1,صحابي,1,1
50156,مهزم بن وهب الكندي,1,صحابي,1,1
50157,مسافع الديلي,1,صحابي,1,1
50159,معدان بن أبي كرب الكلاعي,1,صحابي,1,5
50160,معرض بن معيقيب الباهلي,1,صحابي,1,1
50161,نعمان بن عجلان الأنصاري,1,صحابي,1,2
50162,نافع العبدي,1,صحابي,1,2
50163,نافع بن أبي نافع الرؤاسي,1,صحابي,1,1
50164,ناجية بن الحارث الخزاعي,1,صحابي,1,1
50165,ناجية الطفاوي,1,صحابي,1,1
50166,ناجية بن عمرو,1,صحابي,1,1
50167,نوح بن مخلد الضبعي,1,صحابي,1,1
50168,وهب بن حمزة,1,صحابي,1,1
50169,الوليد بن قيس العامري,1,صحابي,1,1
50171,ورقة بن نوفل الديلي,1,صحابي,1,2
50172,وعلة بن يزيد,1,صحابي,1,1
50173,وداعة بن أبي وداعة السهمي,1,صحابي,1,1
50174,هشام مولى النبي,1,صحابي,1,1
50175,هدار الحمصي,1,صحابي,1,1
50176,الهيثم بن دهر,1,صحابي,1,1
50177,هيبان الأسلمي,1,صحابي,1,1
50179,يزيد بن ركانة المطلبي,1,صحابي,1,7
50180,يزيد الحنفي,1,صحابي,1,1
50181,يزيد القسملي,1,صحابي,1,2
50182,يزيد,1,صحابي,1,1
50183,يسار المطلبي,1,صحابي,1,1
50184,يسار بن سويد الجهني,1,صحابي,1,3
50185,ياسر بن سويد الجهني,1,صحابي,1,3
50186,يعقوب بن الحصين,1,صحابي,1,2
50187,يونس الظفري,1,صحابي,1,1
50188,يوسف الفهري,1,صحابي,1,1
50189,أبو أمية الجمحي,1,صحابي,1,1
50190,أبو أسماء الشامي,1,صحابي,1,1
50191,حمزة الأنصاري,1,صحابي,1,1
50192,أبو ثروان الراعي,1,صحابي,1,1
50193,أبو جنيدة الفهري,1,صحابي,1,1
50194,أبو جندب الفزاري,1,صحابي,1,1
50195,أبو جهاد الأنصاري,1,صحابي,1,1
50196,أبو جابر الصدفي,1,صحابي,1,1
50197,أبو حميضة المزني,1,صحابي,1,1
50198,أبو خصفة,1,صحابي,1,3
50199,أبو الدحداح الأنصاري,1,صحابي,1,2
50200,ابن مسعود الذهبي,1,صحابي,1,4
50202,أبو الأسود النهدي,1,صحابي,1,1
50203,جابان الكردي,1,صحابي,1,2
50204,عم خارجة بن الصلت,1,صحابي,1,1
50206,أبو السائب مولى عائشة بنت عثمان,1,صحابي,1,2
50207,خديجة بنت خويلد القرشية,1,صحابي,1,7
50208,أروى بنت كريز,1,صحابي,1,1
50210,حبيبة بنت أبي سفيان,1,صحابي,1,1
50211,خولة خادم النبي,1,صحابي,1,1
50212,خليدة بنت قعنب الضبي,1,صحابي,1,2
50215,سهلة بنت سعد الساعدية,1,صحابي,1,2
50216,سهلة بنت سهل الساعدية,1,صحابي,1,1
50217,سبيعة القرشية,1,صحابي,1,1
50218,سلامة حاضنة إبراهيم,1,صحابي,1,1
50219,أبو فريعة السلمي,1,صحابي,1,1
50220,أبو القمراء,1,صحابي,1,1
50222,أبو ليلى الغفاري,1,صحابي,1,1
50223,لبيبة الأنصاري,1,صحابي,1,7
50225,أبو محجن الثقفي,1,صحابي,1,3
50226,أبو المنذر الجهني,1,صحابي,1,1
50227,أبو المحبر,1,صحابي,1,2
50230,أبو معتب بن عمرو الأسلمي,1,صحابي,1,3
50233,أبو مغيث الجهني,1,صحابي,1,1
50234,عرفطة بن نضلة الأسدي,1,صحابي,1,2
50236,أبو النعمان,1,صحابي,1,1
50237,أبو النعمان الأزدي,1,صحابي,1,1
50238,أبو نخيلة اللهبي,1,صحابي,1,1
50239,عبد الملك بن أكيدر الكلبي,1,صحابي,1,1
50242,أبو هلال التيمي,1,صحابي,1,1
50246,ابن ثعلبة,1,صحابي,1,1
50247,ابن حماطة السلمي,1,صحابي,1,2
50300,سرى بنت نبهان الغنوية,1,صحابي,1,3
50301,عمرة بنت حرام الأنصارية,1,صحابي,1,1
50304,عميرة بنت مسعود الأنصارية,1,صحابي,1,1
50305,عزة بنت خابل الخزاعية,1,صحابي,1,2
50306,حبيبة بنت أبي أمامة الأنصارية,1,صحابي,1,1
50307,عقيبة بنت عبيد بن الحارث,1,صحابي,1,4
